Date,CSI
2014-04-24,0.324
2014-04-25,0.292
2014-04-28,0.3
2014-04-29,0.332
2014-04-30,0.336
2014-05-01,0.56
2014-05-02,0.708
2014-05-05,0.92
2014-05-06,0.92
2014-05-07,0.968
2014-05-08,0.968
2014-05-09,0.976
2014-05-12,0.976
2014-05-13,0.984
2014-05-14,0.976
2014-05-15,0.976
2014-05-16,0.944
2014-05-19,0.94
2014-05-20,0.936
2014-05-21,0.928
2014-05-22,0.848
2014-05-23,0.852
2014-05-27,0.752
2014-05-28,0.724
2014-05-29,0.716
2014-05-30,0.436
2014-06-02,0.344
2014-06-03,0.128
2014-06-04,0.152
2014-06-05,0.028
2014-06-06,0.016
2014-06-09,0.036
2014-06-10,0.06
2014-06-11,0.048
2014-06-12,0.04
2014-06-13,0.032
2014-06-16,0.064
2014-06-17,0.072
2014-06-18,0.072
2014-06-19,0.268
2014-06-20,0.284
2014-06-23,0.304
2014-06-24,0.304
2014-06-25,0.288
2014-06-26,0.288
2014-06-27,0.22
2014-06-30,0.272
2014-07-01,0.272
2014-07-02,0.324
2014-07-03,0.312
2014-07-07,0.32
2014-07-08,0.268
2014-07-09,0.248
2014-07-10,0.216
2014-07-11,0.408
2014-07-14,0.404
2014-07-15,0.4
2014-07-16,0.476
2014-07-17,0.452
2014-07-18,0.26
2014-07-21,0.212
2014-07-22,0.152
2014-07-23,0.208
2014-07-24,0.268
2014-07-25,0.252
2014-07-28,0.292
2014-07-29,0.22
2014-07-30,0.34
2014-07-31,0.216
2014-08-01,0.216
2014-08-04,0.172
2014-08-05,0.232
2014-08-06,0.384
2014-08-07,0.384
2014-08-08,0.12
2014-08-11,0.128
2014-08-12,0.132
2014-08-13,0.08
2014-08-14,0.092
2014-08-15,0.468
2014-08-18,0.468
2014-08-19,0.48
2014-08-20,0.544
2014-08-21,0.6
2014-08-22,0.768
2014-08-25,0.716
2014-08-26,0.676
2014-08-27,0.616
2014-08-28,0.62
2014-08-29,0.628
2014-09-02,0.772
