Date,FTI
2014-04-24,0.96
2014-04-25,0.976
2014-04-28,0.976
2014-04-29,0.968
2014-04-30,0.936
2014-05-01,0.936
2014-05-02,0.924
2014-05-05,0.884
2014-05-06,0.884
2014-05-07,0.92
2014-05-08,0.904
2014-05-09,0.792
2014-05-12,0.844
2014-05-13,0.872
2014-05-14,0.896
2014-05-15,0.896
2014-05-16,0.884
2014-05-19,0.9
2014-05-20,0.916
2014-05-21,0.9
2014-05-22,0.856
2014-05-23,0.796
2014-05-27,0.78
2014-05-28,0.756
2014-05-29,0.76
2014-05-30,0.772
2014-06-02,0.772
2014-06-03,0.736
2014-06-04,0.672
2014-06-05,0.668
2014-06-06,0.552
2014-06-09,0.592
2014-06-10,0.248
2014-06-11,0.104
2014-06-12,0.016
2014-06-13,0.012
2014-06-16,0.012
2014-06-17,0.012
2014-06-18,0.004
2014-06-19,0.004
2014-06-20,0.004
2014-06-23,0.004
2014-06-24,0.008
2014-06-25,0.012
2014-06-26,0.004
2014-06-27,0.004
2014-06-30,0.004
2014-07-01,0.016
2014-07-02,0.036
2014-07-03,0.004
2014-07-07,0.036
2014-07-08,0.04
2014-07-09,0.056
2014-07-10,0.06
2014-07-11,0.064
2014-07-14,0.072
2014-07-15,0.096
2014-07-16,0.1
2014-07-17,0.108
2014-07-18,0.14
2014-07-21,0.148
2014-07-22,0.152
2014-07-23,0.108
2014-07-24,0.108
2014-07-25,0.14
2014-07-28,0.128
2014-07-29,0.184
2014-07-30,0.18
2014-07-31,0.384
2014-08-01,0.38
2014-08-04,0.208
2014-08-05,0.264
2014-08-06,0.228
2014-08-07,0.208
2014-08-08,0.26
2014-08-11,0.288
2014-08-12,0.256
2014-08-13,0.252
2014-08-14,0.176
2014-08-15,0.144
2014-08-18,0.212
2014-08-19,0.22
2014-08-20,0.256
2014-08-21,0.268
2014-08-22,0.252
2014-08-25,0.24
2014-08-26,0.228
2014-08-27,0.176
2014-08-28,0.064
2014-08-29,0.068
2014-09-02,0.084
2014-09-03,0.04
2014-09-04,0.028
2014-09-05,0.024
2014-09-08,0.012
2014-09-09,0.008
2014-09-10,0.008
2014-09-11,0.024
2014-09-12,0.032
2014-09-15,0.128
2014-09-16,0.128
2014-09-17,0.116
2014-09-18,0.096
2014-09-19,0.156
2014-09-22,0.172
2014-09-23,0.208
2014-09-24,0.18
2014-09-25,0.408
2014-09-26,0.416
2014-09-29,0.412
2014-09-30,0.664
2014-10-01,0.732
2014-10-02,0.792
2014-10-03,0.824
2014-10-06,0.8
2014-10-07,0.852
2014-10-08,0.912
2014-10-09,0.924
2014-10-10,0.98
2014-10-13,1.0
2014-10-14,1.0
2014-10-15,1.0
2014-10-16,1.0
2014-10-17,1.0
2014-10-20,1.0
2014-10-21,1.0
2014-10-22,1.0
2014-10-23,0.992
2014-10-24,0.992
2014-10-27,0.992
2014-10-28,0.992
2014-10-29,0.976
2014-10-30,0.964
2014-10-31,0.96
2014-11-03,0.956
2014-11-04,0.952
2014-11-05,0.948
2014-11-06,0.936
2014-11-07,0.924
2014-11-10,0.864
2014-11-11,0.836
2014-11-12,0.756
2014-11-13,0.72
2014-11-14,0.488
2014-11-17,0.488
2014-11-18,0.248
2014-11-19,0.236
2014-11-20,0.232
