Date,,^GSPC,^IXIC,^RUT
2013-04-02,^GSPC,6.576968712038801e-05,7.257979687014462e-05,7.67713648727351e-05
2013-04-02,^IXIC,7.257979687014462e-05,8.897603480893607e-05,8.9478532671066e-05
2013-04-02,^RUT,7.67713648727351e-05,8.9478532671066e-05,0.00010559039121454955
2013-04-03,^GSPC,6.6052756145707e-05,7.282768393107761e-05,7.718743576618162e-05
2013-04-03,^IXIC,7.282768393107761e-05,8.91760487673673e-05,8.983289777376256e-05
2013-04-03,^RUT,7.718743576618162e-05,8.983289777376256e-05,0.00010619610323403621
2013-04-04,^GSPC,6.602811488462422e-05,7.281619578846071e-05,7.716125450142486e-05
2013-04-04,^IXIC,7.281619578846071e-05,8.917070808470119e-05,8.982114659690847e-05
2013-04-04,^RUT,7.716125450142486e-05,8.982114659690847e-05,0.0001061818400123323
2013-04-05,^GSPC,6.566330256064749e-05,7.23116510075947e-05,7.646012314001957e-05
2013-04-05,^IXIC,7.23116510075947e-05,8.847304137890863e-05,8.884753586486538e-05
2013-04-05,^RUT,7.646012314001957e-05,8.884753586486538e-05,0.00010495155341617333
2013-04-08,^GSPC,6.579534944415939e-05,7.245785072171401e-05,7.664154446449175e-05
2013-04-08,^IXIC,7.245785072171401e-05,8.853664792625449e-05,8.908209243467305e-05
2013-04-08,^RUT,7.664154446449175e-05,8.908209243467305e-05,0.00010518925995948688
2013-04-09,^GSPC,6.526676093627648e-05,7.198456754616944e-05,7.571987976234113e-05
2013-04-09,^IXIC,7.198456754616944e-05,8.812602530429065e-05,8.819924473230227e-05
2013-04-09,^RUT,7.571987976234113e-05,8.819924473230227e-05,0.00010383480797015845
2013-04-10,^GSPC,6.455125074205583e-05,7.149456947476731e-05,7.476816899578864e-05
2013-04-10,^IXIC,7.149456947476731e-05,8.802140931999256e-05,8.759087424831841e-05
2013-04-10,^RUT,7.476816899578864e-05,8.759087424831841e-05,0.00010257707285125169
2013-04-11,^GSPC,6.439937161368837e-05,7.128094226063872e-05,7.43587923937048e-05
2013-04-11,^IXIC,7.128094226063872e-05,8.776398211533934e-05,8.710526112694101e-05
2013-04-11,^RUT,7.43587923937048e-05,8.710526112694101e-05,0.0001016626142796051
2013-04-12,^GSPC,6.375015561688959e-05,7.064219971123047e-05,7.367018272959189e-05
2013-04-12,^IXIC,7.064219971123047e-05,8.714325148421526e-05,8.641977978654134e-05
2013-04-12,^RUT,7.367018272959189e-05,8.641977978654134e-05,0.00010094048411806643
2013-04-15,^GSPC,6.529000349689093e-05,7.214792763735991e-05,7.647379868752472e-05
2013-04-15,^IXIC,7.214792763735991e-05,8.860380890765132e-05,8.92064965930208e-05
2013-04-15,^RUT,7.647379868752472e-05,8.92064965930208e-05,0.00010587183330111419
2013-04-16,^GSPC,6.604428043224347e-05,7.292058929028417e-05,7.742834167684292e-05
2013-04-16,^IXIC,7.292058929028417e-05,8.920653081741825e-05,9.026638962862821e-05
2013-04-16,^RUT,7.742834167684292e-05,9.026638962862821e-05,0.00010704412180853739
2013-04-17,^GSPC,6.603274868432114e-05,7.296176435640099e-05,7.761846126337321e-05
2013-04-17,^IXIC,7.296176435640099e-05,8.932491650358772e-05,9.056197261412668e-05
2013-04-17,^RUT,7.761846126337321e-05,9.056197261412668e-05,0.00010748723178324738
2013-04-18,^GSPC,6.615694995124672e-05,7.324051291393468e-05,7.762802974156058e-05
2013-04-18,^IXIC,7.324051291393468e-05,8.985829730669533e-05,9.072049140855728e-05
2013-04-18,^RUT,7.762802974156058e-05,9.072049140855728e-05,0.00010728432022574517
2013-04-19,^GSPC,6.62716532578639e-05,7.344255879558788e-05,7.786254199352639e-05
2013-04-19,^IXIC,7.344255879558788e-05,9.019761613308539e-05,9.109661458204937e-05
2013-04-19,^RUT,7.786254199352639e-05,9.109661458204937e-05,0.00010768137330928827
2013-04-22,^GSPC,6.633864505194395e-05,7.358650053436315e-05,7.787966746087671e-05
2013-04-22,^IXIC,7.358650053436315e-05,9.0442102033489e-05,9.122431368615673e-05
2013-04-22,^RUT,7.787966746087671e-05,9.122431368615673e-05,0.00010755822007727817
2013-04-23,^GSPC,6.640426543720112e-05,7.363431765956085e-05,7.791413488543961e-05
2013-04-23,^IXIC,7.363431765956085e-05,9.046695880150869e-05,9.122060218287165e-05
2013-04-23,^RUT,7.791413488543961e-05,9.122060218287165e-05,0.00010749311460234539
2013-04-24,^GSPC,6.636765302186249e-05,7.367732056399238e-05,7.781529290428486e-05
2013-04-24,^IXIC,7.367732056399238e-05,9.042060493189852e-05,9.131252743813925e-05
2013-04-24,^RUT,7.781529290428486e-05,9.131252743813925e-05,0.00010736686193872775
2013-04-25,^GSPC,6.57297713658613e-05,7.257383198499256e-05,7.700722865804386e-05
2013-04-25,^IXIC,7.257383198499256e-05,8.851175904964484e-05,8.991364074555266e-05
2013-04-25,^RUT,7.700722865804386e-05,8.991364074555266e-05,0.00010635232236649434
2013-04-26,^GSPC,6.560110424208068e-05,7.244634020475402e-05,7.689080319332313e-05
2013-04-26,^IXIC,7.244634020475402e-05,8.839080769939592e-05,8.981458765165542e-05
2013-04-26,^RUT,7.689080319332313e-05,8.981458765165542e-05,0.00010629645068892521
2013-04-29,^GSPC,6.57646949894203e-05,7.262001852986321e-05,7.701878400662605e-05
2013-04-29,^IXIC,7.262001852986321e-05,8.852303505471113e-05,8.985790678332436e-05
2013-04-29,^RUT,7.701878400662605e-05,8.985790678332436e-05,0.0001062323467838138
2013-04-30,^GSPC,6.570057935035568e-05,7.252895931743881e-05,7.685899257475896e-05
2013-04-30,^IXIC,7.252895931743881e-05,8.84329161660622e-05,8.962995686389172e-05
2013-04-30,^RUT,7.685899257475896e-05,8.962995686389172e-05,0.00010583413445695518
2013-05-01,^GSPC,6.598448054637469e-05,7.287643358900488e-05,7.789017295811476e-05
2013-05-01,^IXIC,7.287643358900488e-05,8.877569220977842e-05,9.057469750832644e-05
2013-05-01,^RUT,7.789017295811476e-05,9.057469750832644e-05,0.00010835894245587842
2013-05-02,^GSPC,6.626415241745297e-05,7.33442849022055e-05,7.850613508281007e-05
2013-05-02,^IXIC,7.33442849022055e-05,8.934393053187493e-05,9.134555764816067e-05
2013-05-02,^RUT,7.850613508281007e-05,9.134555764816067e-05,0.00010940135598365364
2013-05-03,^GSPC,6.638790988210702e-05,7.338145138931606e-05,7.859034702092365e-05
2013-05-03,^IXIC,7.338145138931606e-05,8.924016510577586e-05,9.125420735737792e-05
2013-05-03,^RUT,7.859034702092365e-05,9.125420735737792e-05,0.00010934027925062323
2013-05-06,^GSPC,6.525918650232326e-05,7.184632095741883e-05,7.73276636118124e-05
2013-05-06,^IXIC,7.184632095741883e-05,8.7168448914768e-05,8.956474776667052e-05
2013-05-06,^RUT,7.73276636118124e-05,8.956474776667052e-05,0.00010797580743513738
2013-05-07,^GSPC,6.53407515504758e-05,7.185492283113484e-05,7.746658946806916e-05
2013-05-07,^IXIC,7.185492283113484e-05,8.716933203611001e-05,8.958009997652087e-05
2013-05-07,^RUT,7.746658946806916e-05,8.958009997652087e-05,0.0001081919849570231
2013-05-08,^GSPC,6.528627131489228e-05,7.182286953000482e-05,7.745525393636838e-05
2013-05-08,^IXIC,7.182286953000482e-05,8.716175860672926e-05,8.957893737355897e-05
2013-05-08,^RUT,7.745525393636838e-05,8.957893737355897e-05,0.00010819231341062891
2013-05-09,^GSPC,6.51420877720539e-05,7.171902921062866e-05,7.736473323754834e-05
2013-05-09,^IXIC,7.171902921062866e-05,8.709178648644284e-05,8.950545188044931e-05
2013-05-09,^RUT,7.736473323754834e-05,8.950545188044931e-05,0.00010814977136602257
2013-05-10,^GSPC,6.518050662548078e-05,7.18315404053258e-05,7.74646206443397e-05
2013-05-10,^IXIC,7.18315404053258e-05,8.73063255703518e-05,8.976362672000451e-05
2013-05-10,^RUT,7.74646206443397e-05,8.976362672000451e-05,0.00010839921045463034
2013-05-13,^GSPC,6.51129717121191e-05,7.18213304509584e-05,7.742080749868423e-05
2013-05-13,^IXIC,7.18213304509584e-05,8.730480485595333e-05,8.975646158928809e-05
2013-05-13,^RUT,7.742080749868423e-05,8.975646158928809e-05,0.00010838362749467641
2013-05-14,^GSPC,6.48886971252087e-05,7.150882427275389e-05,7.713333290822733e-05
2013-05-14,^IXIC,7.150882427275389e-05,8.694134094043206e-05,8.935998573800114e-05
2013-05-14,^RUT,7.713333290822733e-05,8.935998573800114e-05,0.0001080153761132815
2013-05-15,^GSPC,6.478328992355151e-05,7.143875986090573e-05,7.707938652109212e-05
2013-05-15,^IXIC,7.143875986090573e-05,8.689699407567051e-05,8.932539676291552e-05
2013-05-15,^RUT,7.707938652109212e-05,8.932539676291552e-05,0.00010798849095277698
2013-05-16,^GSPC,6.481064082116444e-05,7.133886383050989e-05,7.701466299359352e-05
2013-05-16,^IXIC,7.133886383050989e-05,8.669280499106121e-05,8.913297381333429e-05
