CustomerCD,PurchaseDate,Item,Amount,Number
Customer0000208,2019/10/12,Macaroons,530,2
Customer0000422,2019/11/22,Macaroons,530,1
Customer0000422,2020/5/19,Macaroons,530,2
Customer0000675,2019/11/6,Macaroons,530,3
Customer0000675,2019/10/8,Rare cheesecake,380,3
Customer0000675,2019/10/29,Rare cheesecake,380,1
Customer0000422,2019/12/21,Rare cheesecake,380,2
Customer0001225,2020/5/21,Rare cheesecake,380,2
Customer0001354,2019/12/17,Rare cheesecake,380,3
Customer0001370,2020/2/26,Rare cheesecake,380,2
Customer0000422,2019/11/14,jelly,470,3
Customer0000422,2019/11/14,jelly,470,1
Customer0001225,2019/11/5,Financier,530,2
Customer0000208,2020/5/22,Financier,530,1
Customer0000422,2020/3/10,Gateau chocolat,600,2
Customer0000422,2020/8/20,Gateau chocolat,600,2
Customer0000675,2019/11/6,Gateau chocolat,600,2
Customer0000422,2019/11/14,Rare cheesecake,380,2
Customer0000422,2019/11/14,Rare cheesecake,380,1
Customer0000422,2019/12/21,cream puff,590,1
Customer0003334,2019/9/11,Eclair,420,2
Customer0003347,2019/10/22,Eclair,420,1
Customer0000208,2020/5/1,Eclair,420,1
Customer0003334,2019/9/11,Eclair,420,1
Customer0003554,2020/1/28,Eclair,420,3
Customer0000208,2020/7/4,Eclair,420,1
Customer0003334,2020/7/18,Eclair,420,3
Customer0000422,2020/6/26,Eclair,420,3
Customer0003717,2019/10/26,Eclair,420,3
Customer0000208,2019/11/23,Gateau chocolat,600,3
Customer0001370,2020/4/28,Gateau chocolat,600,1
Customer0001370,2020/6/5,Gateau chocolat,600,3
Customer0001370,2020/4/28,Gateau chocolat,600,1
Customer0004431,2019/10/25,Pudding,390,1
Customer0004662,2020/8/27,Pudding,390,1
Customer0004747,2019/11/9,Pudding,390,2
Customer0004431,2019/11/19,Pudding,390,3
Customer0004662,2020/8/27,Pudding,390,3
Customer0000675,2019/9/11,Pudding,390,3
Customer0003347,2020/5/27,Pudding,390,2
Customer0004431,2020/7/1,Pudding,390,3
Customer0000422,2020/1/9,Apple Pie,590,3
Customer0001370,2020/2/15,Apple Pie,590,3
Customer0001370,2020/2/15,Apple Pie,590,1
Customer0006374,2019/9/13,Apple Pie,590,3
Customer0006442,2019/9/28,Apple Pie,590,2
Customer0006374,2019/10/15,Apple Pie,590,1
Customer0006374,2019/10/29,Apple Pie,590,2
Customer0006442,2019/11/9,Apple Pie,590,1
Customer0006374,2019/11/12,Apple Pie,590,1
Customer0006442,2020/1/4,Apple Pie,590,3
Customer0006374,2020/3/3,Apple Pie,590,1
Customer0006442,2020/3/7,Apple Pie,590,2
Customer0006374,2020/3/16,Apple Pie,590,3
Customer0006374,2020/3/31,Apple Pie,590,3
Customer0006597,2020/4/8,Apple Pie,590,1
